Room / Location / Component,Item Name,Comment,Price,OriginalFlag,Include
Attic,Attic - Insulation Add or Replace,Add insulation batts to missing areas in attic moved around.,0,0,Y
Attic,Attic Access Hatch Replace Drywal,"Replace Attic Access Cover with 5/8"" fire rated drywall.",0,0,Y
Attic,Attic Access Ladder - Replace,Replace damaged attic access ladder and trim.,0,0,Y
Attic,Attic Electrical Repair/Replace Electric Attic Fan,Repair or replace roof/gable mount fan.,0,0,Y
Attic,Attic Insulation Add or Replace,Add insulation batts to missing areas in attic moved around.,0,0,Y
Attic,Attic Insulation replacement Pests,Insulation - Remove and replace contaminated blown insulation throughout attic. remove old and install new in locations as needed.,0,0,Y
Attic,Attic Stairs,Attic Stairs - Insulate and repair - Add insulation and weatherstripping to pull-down attic stairs.  Ensure stairs are properly installed with required nails/screws and legs are cut to correct length and angle.,0,0,Y
Roof,Attic- Trusses - Repair Broken / Damaged,"Repair broken, cut or damaged truss found during attic evaluation ( Repair to be done by a framing contractor ).",0,0,Y
Attic,Attic Trusses - Repair Broken/ Damaged,"Repair broken, cut or damaged truss found during attic evaluation (Repair to be done by a framing contractor).",0,0,Y
Kitchen,Cabinet - Old English Touch ups,Cabinets to be cleaned and wirped down with Old English to enhance the cabinets and bring back to good condition. Per LnFt,0,0,Y
Kitchen,Cabinet - Repairs,Repair specific of the cabinets as called out. To include making a new drawer / door / or front to match as close as possible.,0,1,Y
Kitchen,"Cabinets - Cabinet Front - Refinish (Sand, Paint or Stain)","Refinish cabinet front - sand, paint* or stain to like new condition (*clean with TSP prior to painting) - price per LF",0,0,Y
Kitchen,Cabinets - Cabinet Front - Repair (surface scratches & chips),Touch-up paint or stain scratches and chips on cabinets to match finish for a like-new condition,0,0,Y
Bedroom,"Cabinets - Cabinet Front Refinish (Sand, Paint or Stain)","Refinish cabinet front - sand, paint* or stain to like new condition (*clean with TSP prior to painting) - price per LF",0,0,Y
Bedroom,Cabinets - Cabinet Front Repair (surface scratches & chips),Touch-up paint or stain scratches and chips on cabinets to match finish for a like-new condition,0,0,Y
Kitchen,Cabinets - Child Safety Locks - Remove,Remove all child safety locks on cabinet doors and drawers,0,0,Y
Bedroom,Cabinets - Drawer Slides/ Door Hinges - Repair or Replace,Repair/replace drawer slides and hinges to match existing (or similar),0,0,Y
Kitchen,Cabinets - Drawer Slides/ Door Hinges - Repair or Replace,Repair/replace drawer slides and hinges to match existing (or similar),0,0,Y
Kitchen,Cabinets - Drawers/ Doors - Replace,Replace drawer box and drawer/door front to match similar - price per box,0,0,Y
Kitchen,Cabinets - Kitchen Cabinets - Replace,Remove and replace kitchen cabinets (SPEC) to match existing? $140 per LNFT,0,0,Y
Kitchen,Cabinets - Knobs / Pulls - Replace,Replace cabinet knobs/pulls,0,0,Y
Kitchen / Bathroom / Bedroom,Cabinets - Repair Cabinets,Repair cabinets and match color paint or stain and cabinet designs,0,1,Y
Kitchen,Cabinets - Replace Base Cabinets,"Install or Replace Kitchen base cabinets, including door and door hardware.",0,0,Y
Kitchen,Cabinets - Replace Wall Cabinets,"Install or replace kitchen wall cabinets, including door and door hardware.",0,0,Y
Kitchen,Cabinets - Sink Base - Cabinet Bottom Replacement,"Replace cabinet bottom with one solid piece of 1/8"" white eucalyptus hardboard (SKU #447562) and seal interior perimeter with white silicone",0,0,Y
Bedroom,Cabinets - Sink Base Cabinet Bottom Replacement,"Replace cabinet bottom with one solid piece of 1/8"" white eucalyptus hardboard (SKU #447562) and seal interior perimeter with white silicone",0,0,Y
Bedroom,Cabinets- Child Safety Locks- Remove,Remove all child safety locks on cabinet doors and drawers,0,0,Y
Bedroom,Cabinets Drawers/ Doors - Replace,Replace drawer box and drawer/door front to match similar - price per box,0,0,Y
Bedroom,Cabinets Knobs / Pulls - Replace,Replace cabinet knobs/pulls,0,0,Y
Bedroom,Cabinets Repair Cabinets,Repair cabinets and match color paint or stain and cabinet designs,0,0,Y
Bedroom,Carpet Repairs,Repair specific areas of the carpet by harvesting like matching from closets or areas we can replace with another flooring type.,0,0,Y
Kitchen,Carpet Repairs,Repair specific areas of the carpet by harvesting like matching from closets or areas we can replace with another flooring type.,0,0,Y
Bedroom,Cleaning - Cabinet Interior,Clean Interior Discoloration Inside Cabinet Box,0,0,Y
Kitchen,Cleaning - Cabinet Interior,Clean Interior Discoloration Inside Cabinet Box,0,0,Y
Interior,Cleaning- Carpet/ Flooring,"Steam clean carpet and all hard flooring surfaces including tile, vinyl, laminate and wood.",0,0,Y
Interior,Cleaning Odor Remediation,Pet Odor - Urine and dander treatment on carpet and hard surface flooring. Deep clean to remove hair and skin cells from flooring and apply odor eating enzyme treatment (carpet cleaning must also be scoped).,0,0,Y
Interior,Cleaning Odor Remediation,Subfloor Treatment - Apply odor eating enzyme treatment to subfloor in all areas where flooring is being replaced. Treatment must be complete prior to the installation of new flooring installation.,0,0,Y
Interior,Cleaning Odor Remediation,"Thermal Fogging - Treatment for ambient odors (food, smoke, old house smell and ambient pet odor after flooring treatments have been applied).",0,0,Y
Interior,Cleaning Walls,"Wipe all walls and magic eraser any smudges, hand prints, dust etc. throughout the house.",0,0,Y
Kitchen,"Closet Hardware - Replace Misc. Items (shelf, bracket, pole)",Replace missing or damaged closet items to match existing style / look and color. Caulk shelving system prior to re-paint with alex caulk,0,0,Y
Bedroom,"Closet Hardware Replace Misc. Items (shelf, bracket, pole)",Replace missing or damaged closet items to match existing style / look and color. Caulk shelving system prior to re-paint with alex caulk,0,0,Y
Exterior,"Closet Hardware Replace Misc. Items (shelf, bracket, pole)",Replace missing or damaged closet items to match existing style / look and color. Caulk shelving system prior to re-paint with alex caulk.,0,0,Y
Exterior,Concrete - Demo existing,Demo and remove existing concrete $2 per sqft,0,0,Y
Exterior,Concrete - Grind/ Level Trip Hazards,grind concrete walkways with makita all hazardous trip fall concrete $8 per linear ft minimum ?,0,0,Y
Exterior,Concrete - Patch Cracks,Concrete patch with quickcrete $2 per linear ft minimum price ?,0,0,Y
Exterior,Concrete - Pour New,"Concrete add up to 4"" thick non rebar $5.50 per sqft/ YD pricing minimum pour?",0,0,Y
Kitchen,Counters - Back Splash - Repair,Counters - Repair damaged or missing back splash.,0,0,Y
